Longitutde,Latitude,Severity
153.02387,-27.553346,2
153.080723,-27.456418,2
153.013369,-27.321328,2
153.026472,-27.496751,2
153.026769,-27.483536,2
153.178842,-27.368117,2
153.0630938,-27.58898137,2
153.032595,-27.514128,2
152.996329,-27.482917,2
153.068605,-27.472951,2
153.012385,-27.479221,2
153.016049,-27.48616,2
153.053337,-27.420423,2
152.98708,-27.402755,2
153.068465,-27.611465,2
153.062539,-27.611419,2
153.0269884,-27.5149637,2
153.011589,-27.457655,2
153.04201,-27.45839,2
152.913941,-27.51963,2
152.949307,-27.507299,2
153.029016,-27.331616,2
152.936971,-27.401856,2
153.0667196,-27.62423377,2
153.027859,-27.466239,2
153.029177,-27.473291,2
153.029368,-27.467787,2
153.041896,-27.47185629,2
153.063508,-27.471872,2
153.08118,-27.559854,2
153.016656,-27.356299,2
153.059676,-27.343788,2
153.01423,-27.5719094,2
153.040705,-27.504346,2
153.057701,-27.495388,2
152.978683,-27.492917,2
152.989395,-27.488533,2
153.035083,-27.569942,2
153.059596,-27.472411,2
153.0917353,-27.46876712,2
153.008227,-27.331123,2
152.995143,-27.561752,2
153.008504,-27.406286,2
153.066128,-27.561076,2
153.012941,-27.383219,2
153.088164,-27.431886,2
153.033836,-27.412485,2
153.0419,-27.645783,2
153.023564,-27.468224,2
153.049026,-27.453723,2
152.975986,-27.597783,2
153.047461,-27.313948,2
153.047826,-27.3146964,2
153.043107,-27.432954,2
153.041457,-27.64729,2
153.064911,-27.589983,2
153.054703,-27.609758,2
153.0441904,-27.59743291,2
153.039887,-27.598781,2
152.872552,-27.417125,2
153.022071,-27.469437,2
153.021717,-27.4714089,2
153.0428984,-27.47919283,2
153.018034,-27.34689,2
153.124687,-27.502819,2
153.031074,-27.437477,2
153.041309,-27.611382,2
153.0499534,-27.64777515,2
153.021624,-27.512496,2
153.018479,-27.468229,2
153.007874,-27.469284,2
153.056572,-27.528803,2
153.055,-27.51425,2
152.9538097,-27.61318873,2
153.020949,-27.558482,2
153.087802,-27.554186,2
153.005245,-27.480185,2
152.996936,-27.395351,2
153.048073,-27.440932,2
153.0442405,-27.59736268,2
153.015544,-27.463958,2
153.021769,-27.471468,2
153.058182,-27.534971,2
152.955671,-27.595444,2
152.987334,-27.631072,2
153.0589283,-27.53837476,2
153.060855,-27.617678,2
153.044747,-27.638692,2
152.987443,-27.596704,2
152.980079,-27.503856,2
153.1076749,-27.56452222,2
153.010767,-27.474526,2
153.035657,-27.476423,2
153.030794,-27.482698,2
153.001246,-27.389615,2
153.047165,-27.414454,2
152.948039,-27.417883,2
153.0497831,-27.62073538,2
153.0500389,-27.62039659,2
153.0575056,-27.64900227,2
152.9212191,-27.59851549,2
152.89737,-27.431573,2
153.02759,-27.450573,2
153.021144,-27.303608,2
153.182524,-27.456441,2
153.145175,-27.46336,2
153.161851,-27.57113,2
153.058402,-27.599312,2
153.012837,-27.455836,2
153.05306,-27.51081,2
153.036224,-27.454876,2
153.0503566,-27.32087139,2
153.08482,-27.588215,2
153.0599858,-27.34478011,2
153.08596,-27.356259,2
153.126349,-27.498233,2
153.051215,-27.611034,2
153.100719,-27.49988886,2
153.010885,-27.451178,2
153.0411019,-27.43555404,2
153.062744,-27.516169,2
152.976502,-27.592206,2
152.999099,-27.503914,2
153.065176,-27.311743,2
153.106413,-27.586482,2
152.985,-27.3859,2
153.077073,-27.395012,2
153.030752,-27.439871,2
152.9589543,-27.4100026,2
152.984282,-27.451064,2
153.024133,-27.467885,2
152.9876513,-27.5984055,2
152.960578,-27.5061884,2
153.0012705,-27.39038003,2
153.099738,-27.554591,2
153.014036,-27.487402,2
153.018832,-27.481992,2
152.993022,-27.356679,2
153.040558,-27.520082,2
152.974265,-27.448067,2
153.07043,-27.527888,2
152.974382,-27.504245,2
153.0630282,-27.45386683,2
153.059961,-27.464368,2
153.031029,-27.39647,2
153.1419,-27.4842,2
153.1516525,-27.45878908,2
153.171962,-27.377815,2
153.012602,-27.345965,2
153.0601269,-27.34836382,2
153.0429616,-27.43194317,2
152.984152,-27.3994673,2
153.011072,-27.468838,2
153.035658,-27.457825,2
153.04201,-27.45839,2
153.075895,-27.544392,2
152.990504,-27.485324,2
153.0171,-27.543462,2
153.065109,-27.311802,2
153.063794,-27.283704,2
153.1736077,-27.44486121,2
153.032346,-27.426627,2
152.949651,-27.444943,2
153.037873,-27.349977,2
153.041203,-27.437127,2
153.0410341,-27.48730787,2
153.0038799,-27.65585693,2
153.0530854,-27.62442962,2
153.0123905,-27.58130403,2
153.018927,-27.459967,2
153.046648,-27.505352,2
153.0357198,-27.57002368,2
153.031631,-27.569418,2
153.077937,-27.560819,2
153.08553,-27.574998,2
153.124009,-27.503874,2
153.0276309,-27.46008528,2
153.004183,-27.469854,2
153.038858,-27.506763,2
153.039978,-27.45342,2
152.945428,-27.597469,2
152.956501,-27.625027,2
152.948985,-27.623852,2
153.093363,-27.543763,2
