Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition
300793,Medical treatment,2016,November,Thursday,14,Angle,Multi-Vehicle,153.039711,-27.504215,Juliette St,South East Busway,Greenslopes,Brisbane City,4120,Coorparoo,South Brisbane,Brisbane,SEQ South,Metropolitan,Greenslopes,Holland Park - Yeronga,Brisbane - South,Major cities,South Brisbane,Griffith,State-controlled,Intersection - Interchange,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
300794,Medical treatment,2016,November,Thursday,7,Rear-end,Multi-Vehicle,153.106045,-27.457778,Alexandra Pl,Queensport Rd,Murarrie,Brisbane City,4172,Morningside,South Brisbane,Brisbane,SEQ South,Metropolitan,Murarrie,Wynnum - Manly,Brisbane - East,Major cities,Bulimba,Bonner,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
300795,Hospitalisation,2016,November,Thursday,18,Rear-end,Multi-Vehicle,152.983292,-27.530465,Bute St,Oxley Rd,Sherwood,Brisbane City,4075,Sherwood,South Brisbane,Brisbane,SEQ South,Metropolitan,Sherwood,Sherwood - Indooroopilly,Brisbane - West,Major cities,Indooroopilly,Moreton,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted
300796,Medical treatment,2016,November,Thursday,21,Rear-end,Multi-Vehicle,153.100726,-27.592444,Levington Rd,Underwood Rd,Eight Mile Plains,Brisbane City,4113,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Eight Mile Plains,Mt Gravatt,Brisbane - South,Major cities,Stretton,Moreton,Locally-controlled,Intersection - T-Junction,Stop sign,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted
300797,Medical treatment,2016,November,Thursday,13,Sideswipe,Multi-Vehicle,153.036635,-27.489382,Jurgens St,Walker St,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
300798,Medical treatment,2016,November,Thursday,15,Rear-end,Multi-Vehicle,153.036317,-27.349757,Beams Rd,,Zillmere,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Zillmere,Sandgate,Brisbane - North,Major cities,Nudgee,Lilley,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight
300799,Medical treatment,2016,November,Thursday,19,Angle,Multi-Vehicle,153.020354,-27.392541,Rode Rd,Webster Rd,Chermside West,Brisbane City,4032,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside West,Chermside,Brisbane - North,Major cities,Stafford,Petrie,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted
300801,Hospitalisation,2016,November,Thursday,8,Hit pedestrian,Hit pedestrian,153.059949,-27.407802,Sandgate Sub-Arterial Rd,Union St,Nundah,Brisbane City,4012,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Nundah,Nundah,Brisbane - North,Major cities,Nudgee,Lilley,State-controlled,Intersection - T-Junction,Pedestrian crossing sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight
300802,Medical treatment,2016,November,Thursday,13,Rear-end,Multi-Vehicle,152.991645,-27.417855,Wardell St,Western Arterial Rd,Enoggera,Brisbane City,4051,Ferny Grove,North Brisbane,Brisbane,SEQ North,Metropolitan,Enoggera,The Gap - Enoggera,Brisbane - West,Major cities,Ashgrove,Brisbane,State-controlled,Merge Lane,Stop sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight
300826,Medical treatment,2016,November,Friday,16,Angle,Multi-Vehicle,153.021131,-27.462599,Wickham Tce,,Spring Hill,Brisbane City,4000,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Spring Hill,Brisbane Inner,Brisbane Inner City,Major cities,Brisbane Central,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight
300827,Medical treatment,2016,November,Friday,4,Rear-end,Multi-Vehicle,152.97437,-27.504244,Coonan St,Riverview Tce,Indooroopilly,Brisbane City,4068,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Indooroopilly,Sherwood - Indooroopilly,Brisbane - West,Major cities,Indooroopilly,Ryan,Locally-controlled,Intersection - T-Junction,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted
300828,Hospitalisation,2016,November,Friday,5,Hit object,Single Vehicle,153.108442,-27.458139,Gateway Art Rd Off Ramp,,Murarrie,Brisbane City,4172,Wynnum,South Brisbane,Brisbane,SEQ South,Metropolitan,Murarrie,Wynnum - Manly,Brisbane - East,Major cities,Bulimba,Bonner,State-controlled,Intersection - Interchange,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight
300829,Fatal,2016,November,Friday,6,Angle,Multi-Vehicle,153.024021,-27.31082,Bracken Ridge Rd,Hoyland St,Bracken Ridge,Brisbane City,4017,Sandgate,North Brisbane,Brisbane,SEQ North,Metropolitan,Bracken Ridge,Sandgate,Brisbane - North,Major cities,Sandgate,Petrie,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
